Price,Room,Sqr_Meter,Location,City
1800,3,205,"Tunis, Ain Zaghouan",Ain Zaghouan
1700,3,220,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,90,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,2,180,"Tunis, Ain Zaghouan",Ain Zaghouan
850,3,90,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,70,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,4,210,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,4,195,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,4,160,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1700,3,95,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,3,170,"Tunis, Ain Zaghouan",Ain Zaghouan
900,4,130,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,4,170,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,3,95,"Tunis, Ain Zaghouan",Ain Zaghouan
2500,4,173,"Tunis, Ain Zaghouan",Ain Zaghouan
850,2,90,"Tunis, Ain Zaghouan",Ain Zaghouan
1700,3,90,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,4,210,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,2,90,"Tunis, Ain Zaghouan",Ain Zaghouan
2000,3,160,"Tunis, Ain Zaghouan",Ain Zaghouan
1850,4,190,"Tunis, Ain Zaghouan",Ain Zaghouan
1850,4,190,"Tunis, Ain Zaghouan",Ain Zaghouan
800,1,80,"Tunis, Ain Zaghouan",Ain Zaghouan
800,1,55,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,2,90,"Tunis, Ain Zaghouan",Ain Zaghouan
2500,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1700,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,4,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
900,4,149,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1250,5,130,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,4,160,"Tunis, Ain Zaghouan",Ain Zaghouan
900,1,51,"Tunis, Ain Zaghouan",Ain Zaghouan
1550,4,101,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
850,1,72,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
850,2,140,"Tunis, Ain Zaghouan",Ain Zaghouan
700,2,50,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,4,160,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,2,65,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,2,45,"Tunis, Ain Zaghouan",Ain Zaghouan
735,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
900,4,130,"Tunis, Ain Zaghouan",Ain Zaghouan
900,2,65,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,3,139,"Tunis, Ain Zaghouan",Ain Zaghouan
1400,2,120,"Tunis, Ain Zaghouan",Ain Zaghouan
800,1,50,"Tunis, Ain Zaghouan",Ain Zaghouan
900,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
800,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
750,3,80,"Tunis, Ain Zaghouan",Ain Zaghouan
950,3,140,"Tunis, Ain Zaghouan",Ain Zaghouan
1700,4,230,"Tunis, Ain Zaghouan",Ain Zaghouan
790,3,110,"Tunis, Ain Zaghouan",Ain Zaghouan
1600,2,209,"Tunis, Ain Zaghouan",Ain Zaghouan
1250,2,80,"Tunis, Ain Zaghouan",Ain Zaghouan
1400,2,117,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,3,118,"Tunis, Ain Zaghouan",Ain Zaghouan
3000,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
850,1,75,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
850,3,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1750,4,213,"Tunis, Ain Zaghouan",Ain Zaghouan
1750,4,215,"Tunis, Ain Zaghouan",Ain Zaghouan
650,2,65,"Tunis, Ain Zaghouan",Ain Zaghouan
750,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
750,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,2,77,"Tunis, Ain Zaghouan",Ain Zaghouan
850,3,90,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,3,145,"Tunis, Ain Zaghouan",Ain Zaghouan
850,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
900,4,110,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,4,170,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,3,140,"Tunis, Ain Zaghouan",Ain Zaghouan
950,2,100,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,3,120,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,4,250,"Tunis, Ain Zaghouan",Ain Zaghouan
1500,4,220,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,1,80,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,1,75,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,2,80,"Tunis, Ain Zaghouan",Ain Zaghouan
900,2,110,"Tunis, Ain Zaghouan",Ain Zaghouan
1400,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
800,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
900,2,75,"Tunis, Ain Zaghouan",Ain Zaghouan
2800,4,133,"Tunis, Ain Zaghouan",Ain Zaghouan
900,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
800,3,110,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
900,4,140,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,4,140,"Tunis, Ain Zaghouan",Ain Zaghouan
1400,1,68,"Tunis, Ain Zaghouan",Ain Zaghouan
750,2,125,"Tunis, Ain Zaghouan",Ain Zaghouan
900,4,140,"Tunis, Ain Zaghouan",Ain Zaghouan
700,1,80,"Tunis, Ain Zaghouan",Ain Zaghouan
900,1,70,"Tunis, Ain Zaghouan",Ain Zaghouan
800,2,125,"Tunis, Ain Zaghouan",Ain Zaghouan
750,2,60,"Tunis, Ain Zaghouan",Ain Zaghouan
850,3,130,"Tunis, Ain Zaghouan",Ain Zaghouan
1250,3,140,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,3,133,"Tunis, Ain Zaghouan",Ain Zaghouan
1400,5,132,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,1,70,"Tunis, Ain Zaghouan",Ain Zaghouan
850,2,110,"Tunis, Ain Zaghouan",Ain Zaghouan
1300,2,60,"Tunis, Ain Zaghouan",Ain Zaghouan
1050,3,150,"Tunis, Ain Zaghouan",Ain Zaghouan
1250,3,140,"Tunis, Ain Zaghouan",Ain Zaghouan
850,3,140,"Tunis, Ain Zaghouan",Ain Zaghouan
1400,3,140,"Tunis, Ain Zaghouan",Ain Zaghouan
1400,4,150,"Tunis, Ain Zaghouan",Ain Zaghouan
700,2,120,"Tunis, Ain Zaghouan",Ain Zaghouan
830,2,85,"Tunis, Ain Zaghouan",Ain Zaghouan
1800,3,148,"Tunis, Ain Zaghouan",Ain Zaghouan
3500,5,250,"Tunis, Ain Zaghouan",Ain Zaghouan
800,2,90,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,3,110,"Tunis, Ain Zaghouan",Ain Zaghouan
750,2,75,"Tunis, Ain Zaghouan",Ain Zaghouan
700,1,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1600,2,82,"Tunis, Ain Zaghouan",Ain Zaghouan
3500,5,300,"Tunis, Ain Zaghouan",Ain Zaghouan
3500,5,300,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,1,72,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,2,65,"Tunis, Ain Zaghouan",Ain Zaghouan
800,3,70,"Tunis, Ain Zaghouan",Ain Zaghouan
750,3,78,"Tunis, Ain Zaghouan",Ain Zaghouan
1200,2,70,"Tunis, Ain Zaghouan",Ain Zaghouan
1100,4,140,"Tunis, Ain Zaghouan",Ain Zaghouan
1000,4,140,"Tunis, Ain Zaghouan",Ain Zaghouan
850,2,100,"Tunis, Ain Zaghouan",Ain Zaghouan
850,2,100,"Tunis, Ain Zaghouan",Ain Zaghouan
