Price,Room,Sqr_Meter,Location
82000,2,65,"Ben arous, El Mourouj"
83000,2,53,"Ben arous, El Mourouj"
84000,2,90,"Ben arous, El Mourouj"
87000,2,50,"Ben arous, El Mourouj"
90000,2,75,"Ben arous, El Mourouj"
100000,2,55,"Ben arous, El Mourouj"
100000,2,57,"Ben arous, El Mourouj"
100000,2,55,"Ben arous, El Mourouj"
120000,2,60,"Ben arous, El Mourouj"
120000,2,60,"Ben arous, El Mourouj"
135000,2,78,"Ben arous, El Mourouj"
135000,2,68,"Ben arous, El Mourouj"
135000,2,68,"Ben arous, El Mourouj"
135000,2,68,"Ben arous, El Mourouj"
135000,2,70,"Ben arous, El Mourouj"
135000,2,68,"Ben arous, El Mourouj"
140000,2,76,"Ben arous, El Mourouj"
160000,2,81,"Ben arous, El Mourouj"
160000,2,97,"Ben arous, El Mourouj"
160000,2,81,"Ben arous, El Mourouj"
160000,2,97,"Ben arous, El Mourouj"
160000,2,97,"Ben arous, El Mourouj"
160000,2,81,"Ben arous, El Mourouj"
160000,2,81,"Ben arous, El Mourouj"
160000,2,97,"Ben arous, El Mourouj"
160000,2,81,"Ben arous, El Mourouj"
310000,2,152,"Ben arous, El Mourouj"
75000,3,60,"Ben arous, El Mourouj"
75000,3,70,"Ben arous, El Mourouj"
85000,3,98,"Ben arous, El Mourouj"
88000,3,68,"Ben arous, El Mourouj"
90000,3,90,"Ben arous, El Mourouj"
90000,3,75,"Ben arous, El Mourouj"
90000,3,60,"Ben arous, El Mourouj"
90000,3,75,"Ben arous, El Mourouj"
90000,3,75,"Ben arous, El Mourouj"
90000,3,75,"Ben arous, El Mourouj"
90000,3,75,"Ben arous, El Mourouj"
95000,3,90,"Ben arous, El Mourouj"
97000,3,80,"Ben arous, El Mourouj"
98000,3,80,"Ben arous, El Mourouj"
98000,3,80,"Ben arous, El Mourouj"
98000,3,76,"Ben arous, El Mourouj"
100000,3,85,"Ben arous, El Mourouj"
100000,3,85,"Ben arous, El Mourouj"
100000,3,85,"Ben arous, El Mourouj"
100000,3,85,"Ben arous, El Mourouj"
103000,3,95,"Ben arous, El Mourouj"
110000,3,90,"Ben arous, El Mourouj"
110000,3,78,"Ben arous, El Mourouj"
110000,3,85,"Ben arous, El Mourouj"
110000,3,82,"Ben arous, El Mourouj"
110000,3,80,"Ben arous, El Mourouj"
110000,3,85,"Ben arous, El Mourouj"
115000,3,80,"Ben arous, El Mourouj"
115000,3,78,"Ben arous, El Mourouj"
117000,3,85,"Ben arous, El Mourouj"
120000,3,68,"Ben arous, El Mourouj"
120000,3,90,"Ben arous, El Mourouj"
125000,3,80,"Ben arous, El Mourouj"
125000,3,80,"Ben arous, El Mourouj"
125000,3,70,"Ben arous, El Mourouj"
130000,3,75,"Ben arous, El Mourouj"
130000,3,98,"Ben arous, El Mourouj"
133000,3,88,"Ben arous, El Mourouj"
135000,3,88,"Ben arous, El Mourouj"
135000,3,50,"Ben arous, El Mourouj"
135000,3,84,"Ben arous, El Mourouj"
135000,3,84,"Ben arous, El Mourouj"
135000,3,84,"Ben arous, El Mourouj"
135000,3,84,"Ben arous, El Mourouj"
135000,3,84,"Ben arous, El Mourouj"
135000,3,84,"Ben arous, El Mourouj"
135000,3,84,"Ben arous, El Mourouj"
137000,3,80,"Ben arous, El Mourouj"
150000,3,100,"Ben arous, El Mourouj"
160000,3,100,"Ben arous, El Mourouj"
160000,3,97,"Ben arous, El Mourouj"
160000,3,97,"Ben arous, El Mourouj"
160000,3,97,"Ben arous, El Mourouj"
160000,3,81,"Ben arous, El Mourouj"
160000,3,81,"Ben arous, El Mourouj"
160000,3,81,"Ben arous, El Mourouj"
160000,3,97,"Ben arous, El Mourouj"
160000,3,81,"Ben arous, El Mourouj"
160000,3,97,"Ben arous, El Mourouj"
164176,3,102,"Ben arous, El Mourouj"
168500,3,102,"Ben arous, El Mourouj"
170000,3,119,"Ben arous, El Mourouj"
170000,3,120,"Ben arous, El Mourouj"
170000,3,112,"Ben arous, El Mourouj"
170000,3,120,"Ben arous, El Mourouj"
170000,3,86,"Ben arous, El Mourouj"
170000,3,86,"Ben arous, El Mourouj"
170000,3,86,"Ben arous, El Mourouj"
170000,3,86,"Ben arous, El Mourouj"
170000,3,86,"Ben arous, El Mourouj"
172000,3,112,"Ben arous, El Mourouj"
180000,3,108,"Ben arous, El Mourouj"
180000,3,108,"Ben arous, El Mourouj"
180000,3,105,"Ben arous, El Mourouj"
180000,3,105,"Ben arous, El Mourouj"
180000,3,105,"Ben arous, El Mourouj"
180000,3,105,"Ben arous, El Mourouj"
180000,3,105,"Ben arous, El Mourouj"
180000,3,105,"Ben arous, El Mourouj"
180000,3,105,"Ben arous, El Mourouj"
180000,3,105,"Ben arous, El Mourouj"
180000,3,105,"Ben arous, El Mourouj"
180000,3,111,"Ben arous, El Mourouj"
180000,3,105,"Ben arous, El Mourouj"
185000,3,110,"Ben arous, El Mourouj"
185000,3,110,"Ben arous, El Mourouj"
185000,3,110,"Ben arous, El Mourouj"
185000,3,110,"Ben arous, El Mourouj"
185000,3,110,"Ben arous, El Mourouj"
185000,3,110,"Ben arous, El Mourouj"
195000,3,118,"Ben arous, El Mourouj"
